Home \ Away,Arsenal,Aston Villa,Bournemouth,Chelsea,Crystal Palace,Everton,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur,Watford,West Bromwich Albion,West Ham United
Arsenal,—,4–0,2–0,0–1,1–1,2–1,2–1,0–0,2–1,3–0,1–0,1–0,0–0,2–0,3–1,1–2,1–1,4–0,2–0,0–2
Aston Villa,0–2,—,1–2,0–4,1–0,1–3,1–1,0–6,0–0,0–1,0–0,2–0,2–4,0–1,2–2,1–2,0–2,2–3,0–1,1–1
Bournemouth,0–2,0–1,—,1–4,0–0,3–3,1–1,1–2,0–4,2–1,0–1,3–0,2–0,1–3,2–0,3–2,1–5,1–1,1–1,1–3
Chelsea,2–0,2–0,0–1,—,1–2,3–3,1–1,1–3,0–3,1–1,5–1,1–0,1–3,1–1,3–1,2–2,2–2,2–2,2–2,2–2
Crystal Palace,1–2,2–1,1–2,0–3,—,0–0,0–1,1–2,0–1,0–0,5–1,1–0,1–0,2–1,0–1,0–0,1–3,1–2,2–0,1–3
Everton,0–2,4–0,2–1,3–1,1–1,—,2–3,1–1,0–2,0–3,3–0,3–0,1–1,3–4,6–2,1–2,1–1,2–2,0–1,2–3
Leicester City,2–5,3–2,0–0,2–1,1–0,3–1,—,2–0,0–0,1–1,1–0,1–0,1–0,3–0,4–2,4–0,1–1,2–1,2–2,2–2
Liverpool,3–3,3–2,1–0,1–1,1–2,4–0,1–0,—,3–0,0–1,2–2,1–1,1–1,4–1,2–2,1–0,1–1,2–0,2–2,0–3
Manchester City,2–2,4–0,5–1,3–0,4–0,0–0,1–3,1–4,—,0–1,6–1,2–1,3–1,4–0,4–1,2–1,1–2,2–0,2–1,1–2
Manchester United,3–2,1–0,3–1,0–0,2–0,1–0,1–1,3–1,0–0,—,0–0,1–2,0–1,3–0,3–0,2–1,1–0,1–0,2–0,0–0
Newcastle United,0–1,1–1,1–3,2–2,1–0,0–1,0–3,2–0,1–1,3–3,—,6–2,2–2,0–0,1–1,3–0,5–1,1–2,1–0,2–1
Norwich City,1–1,2–0,3–1,1–2,1–3,1–1,1–2,4–5,0–0,0–1,3–2,—,1–0,1–1,0–3,1–0,0–3,4–2,0–1,2–2
Southampton,4–0,1–1,2–0,1–2,4–1,0–3,2–2,3–2,4–2,2–3,3–1,3–0,—,0–1,1–1,3–1,0–2,2–0,3–0,1–0
Stoke City,0–0,2–1,2–1,1–0,1–2,0–3,2–2,0–1,2–0,2–0,1–0,3–1,1–2,—,1–1,2–2,0–4,0–2,0–1,2–1
Sunderland,0–0,3–1,1–1,3–2,2–2,3–0,0–2,0–1,0–1,2–1,3–0,1–3,0–1,2–0,—,1–1,0–1,0–1,0–0,2–2
Swansea City,0–3,1–0,2–2,1–0,1–1,0–0,0–3,3–1,1–1,2–1,2–0,1–0,0–1,0–1,2–4,—,2–2,1–0,1–0,0–0
Tottenham Hotspur,2–2,3–1,3–0,0–0,1–0,0–0,0–1,0–0,4–1,3–0,1–2,3–0,1–2,2–2,4–1,2–1,—,1–0,1–1,4–1
Watford,0–3,3–2,0–0,0–0,0–1,1–1,0–1,3–0,1–2,1–2,2–1,2–0,0–0,1–2,2–2,1–0,1–2,—,0–0,2–0
West Bromwich Albion,2–1,0–0,1–2,2–3,3–2,2–3,2–3,1–1,0–3,1–0,1–0,0–1,0–0,2–1,1–0,1–1,1–1,0–1,—,0–3
West Ham United,3–3,2–0,3–4,2–1,2–2,1–1,1–2,2–0,2–2,3–2,2–0,2–2,2–1,0–0,1–0,1–4,1–0,3–1,1–1,—
